City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,gimli,50.6336,-96.9907,-3.99,74,6,2.06,CA,1680916888
224,inuvik,68.3499,-133.7218,-13.58,66,0,4.12,CA,1680917047
225,bethel,41.3712,-73.414,7.72,37,0,5.14,US,1680917048
226,irmo,34.086,-81.1832,9.54,69,100,8.23,US,1680917048
227,chapais,49.7834,-74.8492,-9.12,85,95,5.01,CA,1680917048
228,saint-philippe,-21.3585,55.7679,22.77,86,82,3.48,RE,1680916905
229,sibu,2.3,111.8167,25.17,88,40,0.0,MY,1680917050
230,acajutla,13.5928,-89.8275,26.98,75,27,1.95,SV,1680916790
231,huron,41.1501,-82.5499,4.27,65,100,2.93,US,1680917051
232,broken hill,-31.95,141.4333,19.01,50,2,8.35,AU,1680917051
233,don benito,38.9563,-5.8616,11.36,34,9,1.58,ES,1680917051
234,bandar,2.05,99.75,23.81,93,100,0.56,ID,1680917053
235,atasu,48.6814,71.6433,-0.18,81,69,5.25,KZ,1680917054
236,ayr,55.4627,-4.6339,5.28,81,20,4.12,GB,1680917054
237,luderitz,-26.6481,15.1594,15.36,77,0,7.08,NA,1680916909
238,zhangjiakou,40.81,114.8794,6.51,28,0,2.04,CN,1680917055
239,marawi,7.9986,124.2928,24.33,73,89,2.09,PH,1680917055
240,chumikan,54.7183,135.315,-5.17,87,100,5.59,RU,1680917056
241,yarkovo,57.4028,67.0786,-6.92,52,25,3.54,RU,1680917056
242,caconda,-13.7333,15.0667,15.14,89,97,0.73,AO,1680917057
243,floro,61.5996,5.0328,5.54,70,33,3.6,NO,1680917057
244,port moresby,-9.4431,147.1797,27.68,78,40,7.72,PG,1680916925
245,san carlos de bariloche,-41.1456,-71.3082,7.86,61,0,1.54,AR,1680917058
246,faanui,-16.4833,-151.75,28.65,75,83,9.12,PF,1680916940
247,touros,-5.1989,-35.4608,25.77,88,100,3.21,BR,1680917059
248,arman,59.7,150.1667,-6.27,75,27,0.81,RU,1680917060
249,itarema,-2.9248,-39.9167,24.75,89,64,3.22,BR,1680916911
250,peniche,39.3558,-9.3811,14.69,90,62,0.88,PT,1680916913
251,saint-donat-de-montcalm,46.3187,-74.2219,-1.08,89,48,3.95,CA,1680917060
252,grand-lahou,5.1367,-5.0242,25.79,90,68,2.84,CI,1680917061
253,vikhorevka,56.1201,101.1636,-8.23,69,100,4.55,RU,1680917061
254,lima,-12.0432,-77.0282,26.06,79,40,5.66,PE,1680917423
255,la primavera,5.4906,-70.4092,30.2,47,100,0.79,CO,1680917063
256,te anau,-45.4167,167.7167,14.04,53,0,0.18,NZ,1680916963
257,bajil,15.0584,43.2851,27.55,73,42,1.76,YE,1680917063
258,waren,53.5167,12.6833,4.45,96,98,4.07,DE,1680917064
259,palmer,42.1584,-72.3287,5.75,41,75,6.17,US,1680917064
260,san cristobal,7.7669,-72.225,20.1,74,100,0.56,VE,1680916906
261,parit buntar,5.1267,100.4932,27.99,81,59,1.5,MY,1680917065
262,bardiyah,31.7561,25.0865,15.12,71,100,3.27,LY,1680917065
263,siderno,38.2779,16.302,9.08,68,89,1.96,IT,1680917066
264,tchollire,8.4022,14.1698,31.16,24,70,1.5,CM,1680917066
265,harper,4.375,-7.7169,26.66,84,95,2.4,LR,1680917066
266,lazaro cardenas,17.9583,-102.2,25.9,64,0,3.12,MX,1680917067
267,rudnaya pristan,44.3614,135.8116,5.0,37,6,4.17,RU,1680917067
268,kahului,20.8947,-156.47,26.01,67,40,8.75,US,1680916970
269,divnomorskoye,44.5011,38.1353,8.81,92,100,1.19,RU,1680917068
270,mandal,25.45,74.5667,22.52,25,84,1.72,IN,1680917068
271,idah,7.1065,6.7342,27.18,77,100,2.13,NG,1680917069
